Theme.Boolean,Theme,Category,Abbr.Theme.Boolean
( artificial and ( flavor or flavor or flavor ) ) and ( free or free or zero or no or without ) ),Artificial Flavors,Double AND,( artfc and ( flvr or flvr or flvr ) ) and ( fr or fr or zr or no or wtht ) )
( ( artificial and ( preservative or preservative ) ) or bha or bht or ethoxyquin or sodium benzoate ) and ( free or free or zero or no or without ) ),Artificial Preservatives,Double closing bracket,( ( artfc and ( prsrv or prsrv ) ) or bha or bht or ethxy or sdm bnzt ) and ( fr or fr or zr or no or wtht ) )
( ( artificial and ( sweetener or sweetener or sugar ) ) or saccharin or sweet n low or sweet 'n low or aspartame or sucralose or splenda ) and ( free or free or zero or no or without ) ),Artificial Sweeteners,Double closing bracket,( ( artfc and ( swtnr or swtnr or sgr ) ) or schrn or swt n low or swt 'n low or asprt or scrls or splnd ) and ( fr or fr or zr or no or wtht ) )
( ( ( artificial color or artificial color or artificial dye or artificial dye or artificial colorant or artificial colorant or artificial color ) and ( artificial preservative or artificial preservative ) and ( artificial flavor or artificial flavor ) ) or artificial ingredient or artificial ingredient ) and ( free or free or zero or no or without ) ),Artificial- Total,Double closing bracket,( ( ( artfc clr or artfc clr or artfc dye or artfc dye or artfc clrnt or artfc clrnt or artfc clr ) and ( artfc prsrv or artfc prsrv ) and ( artfc flvr or artfc flvr ) ) or artfc ingrd or artfc ingrd ) and ( fr or fr or zr or no or wtht ) )
ayurverdic or ayurverdic or ayurvedic or ayurvedic,Ayurverdic,Simple OR,ayrvr or ayrvr or ayrvd or ayrvd
( ( barf or biologically appropriate raw food or biologically appropriate raw food diet or bioappropriate raw food or bioappropriate raw food diet or bio appropriate raw food or bio appropriate raw food or ( bone and raw food ) or ( bone and raw food diet ) or barfdiet or barf ) and not ( barfed or barfs ) ),BARF,Single AND NOT,( ( brf or blgcl aprpr raw fd or blgcl aprpr raw fd dt or bprpr raw fd or bprpr raw fd dt or bio aprpr raw fd or bio aprpr raw fd or ( bn and raw fd ) or ( bn and raw fd dt ) or brfdt or brf ) and not ( brfd or brfs ) )
biodynamic and ( agriculture or ag or farm or farm or farm or farm or crop or crop ) and not ( wine ),Biodynamic,AND and AND NOT,bdynm and ( agrcl or ag or frm or frm or frm or frm or crp or crp ) and not ( wn )
( bio hack or bio hack or bio hack or biohacker or biohack or biohacking or biohacked or biohacker or biohacking or biohack ),Biohacking,Simple OR,( bio hck or bio hck or bio hck or bhckr or bhck or bhckn or bhckd or bhckr or bhckn or bhck )
( biologic or biologic ) and ( eat or eat or food or nutrition or diet or diet ),Biologics,Single AND,( blgc or blgc ) and ( eat or eat or fd or ntrtn or dt or dt )
( bone broth or bonebroth or bonebroth ),Bone Broth,Simple OR,( bn brth or bnbrt or bnbrt )
( bone and ( health or healthy ) ) or osteoporosis or bonehealth,Bone Health,Double closing bracket,( bn and ( hlth or hlthy ) ) or ostpr or bnhlt
( byproduct or byproduct or by product or biproduct or bi product or biproduct or byproduct or byproduct or by product or biproducts or bi product or biproducts ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),By-Products,Single AND,( byprd or byprd or by prdct or bprdc or bi prdct or bprdc or byprd or byprd or by prdct or bprdc or bi prdct or bprdc ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
( cage free or cagefree or pen free or penfree or cagefree ) and ( chicken or chicken or pork or pig or pig or livestock ),Cage/Pen Free,Single AND,( cg fr or cgfr or pen fr or pnfr or cgfr ) and ( chckn or chckn or prk or pig or pig or lvstc )
( carb or carbs or carbohydrate or carbohydrate or carbfree or carbohydratefree ) and ( no or low or zero or free or diet or diet or formula or formula ),Carb Free Diet,Single AND,( crb or crbs or crbhy or crbhy or crbfr or crbhy ) and ( no or low or zr or fr or dt or dt or frml or frml )
carrageenan and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),Carrageenan,Single AND,crgnn and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
cbd or cannabidiol or cannibinoid or hash oil or hemp or cannabinoid or hemp oil or hemp seed or hemp oil or hemp seed or hemp extract or cbd or cannabidiol,CBD,Simple OR,cbd or cnbdl or cnbnd or hsh oil or hmp or cnbnd or hmp oil or hmp sd or hmp oil or hmp sd or hmp extrc or cbd or cnbdl
certify organic or organic certification or organic certify or usdaorganic or certifiedorganic or usdacertified organic,Certified Organic,Simple OR,crtfy orgnc or orgnc crtfc or orgnc crtfy or usdrg or crtfd or usdcr orgnc
usda organic or certify kosher or nongmo project verify or non gmo project verify or american grassfed or certify humane or animal welfare approve or rainforest alliance certify or rainforest alliance certify or certify halal or food alliance certify or transitional organic or fair for life or gap five step animal welfare rate or animal welfare rate program or fivestep rate program or gap certification or gap certify or five step certification or five step animal welfare program or fsc certify or forest stewardship council or certify b corporation or certify biodynamic or certifiedhumane or usdaorganic,Certified/Verified (Land),Simple OR,usd orgnc or crtfy kshr or nngm prjct vrfy or non gmo prjct vrfy or amrcn grsfd or crtfy hmn or anml wlfr aprv or rnfrs alnc crtfy or rnfrs alnc crtfy or crtfy hll or fd alnc crtfy or trnst orgnc or fr for lf or gap fv stp anml wlfr rt or anml wlfr rt prgrm or fvstp rt prgrm or gap crtfc or gap crtfy or fv stp crtfc or fv stp anml wlfr prgrm or fsc crtfy or frst stwrd cncl or crtfy b crprt or crtfy bdynm or crtfd or usdrg
aquaculture stewardship council or monterey bay aquarium seafood watch or fishwise or fish wise or aquaculture or aquiculture or ocean wise or oceanwise or vancouver aquarium ocean wise,Certified/Verified (Seafood),Simple OR,aqclt stwrd cncl or mntry bay aqrm sfd wtch or fshws or fsh ws or aqclt or aqclt or ocn ws or ocnws or vncvr aqrm ocn ws
chamomile,Chamomile,Simple OR,chmml
( chicken or chicken ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),Chicken Free,Single AND,( chckn or chckn ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
meat and ( cell base or cellbased or lab grow or labgrown or cellcultured or cell culture or cellular or in vitro or invitro ),Clean (Cell Cultured Meat),Single AND,mt and ( cl bs or clbsd or lab grw or lbgrw or clclt or cl cltr or cllr or in vtr or invtr )
( alternative protein or alternative protein or alternate protein or alternate protein or alt protein or alt protein ) or ( ( protein or protein or edible or powder or powder or powder or roast or roast or roast or xbased ) and ( insect or insect or locust or locust or ant or ant or mealworm or mealworm or cricket or cricket or planthopper or plant hopper or planthoppers or plant hopper or leafhopper or leafhopper or leaf hopper or leaf hopper or cockroach or cock roach or cockroach or cock roach or cicada or cicada or grasshopper or grasshopper or grass hopper or grass hopper or bug or bug or worm or worm or larva or larva or bee or fly or fly or moth or moth or butterfly or butterfly or beetle or beetle or soldier fly or soldier fly or soldier fly larva or bsfl or black soldier fly larva or entomophagy or hermetia illucens or acheta domesticus or chapulines ) ) or ( meat and ( cell base or cellbased or lab grow or labgrown or cellcultured or cell culture or cellular or in vitro or invitro ) ) or ( plant protein or plant base protein or plantbased protein ) or ( ( source of protein or protein source or protein ) and ( yam or yam or soya or chickpea or chickpea or soy or bean or bean or pulse or lentil or lentil or alga or potato or potato or corn or tofu or pea or pea or legume or legume ) ),Clean/Insect/Novel Protein (ALL),,( altrn prtn or altrn prtn or altrn prtn or altrn prtn or alt prtn or alt prtn ) or ( ( prtn or prtn or edbl or pwdr or pwdr or pwdr or rst or rst or rst or xbsd ) and ( insct or insct or lcst or lcst or ant or ant or mlwrm or mlwrm or crckt or crckt or plnth or plnt hpr or plnth or plnt hpr or lfhpr or lfhpr or lf hpr or lf hpr or cckrc or cck rch or cckrc or cck rch or ccd or ccd or grshp or grshp or grs hpr or grs hpr or bug or bug or wrm or wrm or lrv or lrv or bee or fly or fly or mth or mth or btrfl or btrfl or btl or btl or sldr fly or sldr fly or sldr fly lrv or bsfl or blck sldr fly lrv or entmp or hrmt ilcns or acht dmstc or chpln ) ) or ( mt and ( cl bs or clbsd or lab grw or lbgrw or clclt or cl cltr or cllr or in vtr or invtr ) ) or ( plnt prtn or plnt bs prtn or plntb prtn ) or ( ( src of prtn or prtn src or prtn ) and ( yam or yam or sy or chckp or chckp or soy or bn or bn or pls or lntl or lntl or alg or ptt or ptt or crn or tf or pea or pea or lgm or lgm ) )
( cognition or cognitive or brain health or healthy brain or brain food or brain diet or brain acuity or mental acuity or brainhealth or cognition ),Cognition/Brain Health,Simple OR,( cgntn or cgntv or brn hlth or hlthy brn or brn fd or brn dt or brn acty or mntl acty or brnhl or cgntn )
( collagen or collagen ) and not ( collagen case or zinc help with collagen absorption ),Collagen,Simple OR,( clgn or clgn ) and not ( clgn cs or znc hlp wth clgn absrp )
( corn ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ) and not high fructose corn syrup,Corn Free,AND and AND NOT,( crn ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht ) and not hgh frcts crn syrp
( direct to home or directtohome or dtc or meal kit or meal kit or subscription box or subscription box or subscription service or farmer's dog or farmer dog or petplate or ollie or nomnomnow or just right by purina or coast + range or just food for dog or raise right pet or yadoggie or holi chow or puppo or tailscom or butternut box ),Customized DTC,Simple OR,( drct to hm or drcth or dtc or ml kit or ml kit or sbscr box or sbscr box or sbscr srvc or frmr's dog or frmr dog or ptplt or ol or nmnmn or jst rght by prn or cst + rng or jst fd for dog or rs rght pet or ydg or hl chw or pp or tlscm or btrnt box )
( dairy or milk or lactose ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without or non ),DairyFree,Double closing bracket,( dry or mlk or lcts ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht or non )
( ( dash and ( diet or diet or diet or formula or formula ) ) or dashdiets or dash ),Dash Diet,Single AND,( ( dsh and ( dt or dt or dt or frml or frml ) ) or dshdt or dsh )
dehydrate and not ( thirst or thirsty or water or fluid or be dehydrate or iv ),Dehydrated,Single AND NOT,dhydr and not ( thrst or thrst or wtr or fld or be dhydr or iv )
( ( oral or dental or tooth or gum or breath ) and ( health or care or healthy or probiotic or microbiome or brush or brush or brush or toothbrush or toothpaste or clean or clean ) ) or “ chewable toothpaste ” or “ edible toothpaste ” or “ dental chew ” or “ dental chew ” or “ oral chew ” or “ oral chew or dental treat or dental treat ” or oralhealth or dentalhealth,Dental/Oral Health,Double closing bracket,( ( orl or dntl or tth or gum or brth ) and ( hlth or cr or hlthy or prbtc or mcrbm or brsh or brsh or brsh or tthbr or tthps or cln or cln ) ) or “ chwbl tthps ” or “ edbl tthps ” or “ dntl chw ” or “ dntl chw ” or “ orl chw ” or “ orl chw or dntl trt or dntl trt ” or orlhl or dntlh
( diabetes or diabetic or diabetes or diabetic ) and not ( diabetic alert ),Diabetes Management,Single AND NOT,( dbts or dbtc or dbts or dbtc ) and not ( dbtc alrt )
( probiotic or probiotic or fortiflora or prebiotic or prebiotic or ferment or ferment or fermentable or fermentation or pickle or kefir or kimchi or kombucha or nato or miso or tempeh or digestion or digestive or digest or digest or digest or sensitive stomach or sensitive skin and stomach or sensitive tummy or gastro or gastrointestinal or gi ) and not animal digest or treaty or sick as a dog,Digestive (ALL),Single AND NOT,( prbtc or prbtc or frtfl or prbtc or prbtc or frmnt or frmnt or frmnt or frmnt or pckl or kfr or kmch or kmbch or nt or ms or tmph or dgstn or dgstv or dgst or dgst or dgst or snstv stmch or snstv skn and stmch or snstv tmy or gstr or gstrn or gi ) and not anml dgst or trty or sck as a dog
( egg or egg ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),Egg Free,Single AND,( egg or egg ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
( ethoxyquin or ethoxyquin ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),ethoxyquin,Single AND,( ethxy or ethxy ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
fair trade or fairtrade or fairtrade,Fair Trade,Simple OR,fr trd or frtrd or frtrd
( fair trade or fairtrade ) and ( certify or certification ),Fair Trade Certified,Single AND,( fr trd or frtrd ) and ( crtfy or crtfc )
( farm raise or farmraised or farmraised ) and not ( factory farm or fish or salmon or sardine or seafood or tilapi or cod ),Farm Raised (Land),Single AND NOT,( frm rs or frmrs or frmrs ) and not ( fctry frm or fsh or slmn or srdn or sfd or tlp or cod )
( fish or seafood or shrimp or tilapia or salmon or cod ) and ( farm or farm or farm or farmraised ),Farm Raised (Seafood),Single AND,( fsh or sfd or shrmp or tlp or slmn or cod ) and ( frm or frm or frm or frmrs )
( human food or homemade food or home make food or my food or homecooked or home cook or homemade or home make or diy food or diy meal ),Feeding Human Food,Simple OR,( hmn fd or hmmd fd or hm mk fd or my fd or hmckd or hm ck or hmmd or hm mk or diy fd or diy ml )
( ferment or ferment or fermentable or fermentation or pickle or kefir or kimchi or kombucha or nato or miso or tempeh ),Fermented Foods,Simple OR,( frmnt or frmnt or frmnt or frmnt or pckl or kfr or kmch or kmbch or nt or ms or tmph )
( ( filler or filler ) and ( food or ingredient or ingredient or formula or formula ) ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),Fillers,Single AND,( ( flr or flr ) and ( fd or ingrd or ingrd or frml or frml ) ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
( flexitarian or flexitarians ),Flexitarian Diet,Simple OR,( flxtr or flxtr )
( fodmaps or fodmap or fermentable oligodimonosaccharides polyol or fodmap or fodmaps ),FODMAPS Diet,Simple OR,( fdmps or fdmp or frmnt olgdm plyl or fdmp or fdmps )
( carbon footprint or carbon foot print or carbon impact or carbon free or carbon neutral or carbon zero or carbon pawprint or carbon paw print ),Food Carbon Impact,Simple OR,( crbn ftprn or crbn ft prnt or crbn impct or crbn fr or crbn ntrl or crbn zr or crbn pwprn or crbn paw prnt )
( traceability or trace or traceability ) and ( food ),Food Traceability,Single AND,( trcbl or trc or trcbl ) and ( fd )
food waste or food loss or waste food or waste food or food recovery solution or zero hunger zero waste or zero hunger or zero waste or upcycling food or upcycle food or foodwaste or watedfood or zerowaste,Food Waste,Simple OR,fd wst or fd ls or wst fd or wst fd or fd rcvry sltn or zr hngr zr wst or zr hngr or zr wst or upcyc fd or upcyc fd or fdwst or wtdfd or zrwst
( free forage or free forage ) and ( chicken or chicken or pig or pig or pork or cow or cow or beef ),Free Foraging,Single AND,( fr frg or fr frg ) and ( chckn or chckn or pig or pig or prk or cow or cow or bf )
free range or freerange or freerange or free range or freeranging,Free Range,Simple OR,fr rng or frrng or frrng or fr rng or frrng
( freeze dry or freezedried or frz drd or freezedrying or freeze spin-dry ),Freeze Dried,Simple OR,( frz dry or frzdr or frz drd or frzdr or frz spn-dr )
( global animal partnership or animal welfare rate program or fivestep rate program or gap certification or gap certify or five step certification or five step animal welfare program or global animal partnership ),GAP Standards,Simple OR,( glbl anml prtnr or anml wlfr rt prgrm or fvstp rt prgrm or gap crtfc or gap crtfy or fv stp crtfc or fv stp anml wlfr prgrm or glbl anml prtnr )
( ( genomics or genome or genome or genomic or gene map ) and ( eat or eat or food or nutrition or diet or diet ) ) or nutrigenomics or nutrigenomics,Genomics,Double closing bracket,( ( gnmcs or gnm or gnm or gnmc or gn map ) and ( eat or eat or fd or ntrtn or dt or dt ) ) or ntrgn or ntrgn
( gluten or glutenfree ) and ( no or free or zero or make without or free from or sensitive or sensitivity or sensitivity or allergy or allergy or allergic or intolerance or intolerant or without or allergen or allergen ),Gluten Free,Single AND,( gltn or gltnf ) and ( no or fr or zr or mk wtht or fr frm or snstv or snstv or snstv or alrgy or alrgy or alrgc or intlr or intlr or wtht or alrgn or alrgn )
( glyphosate or detox project or glyphosate ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ),Glyphosate,Single AND,( glyph or dtx prjct or glyph ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht )
( ( gmo or gmos or gmo's or genetically modify organism or genetically modify organism ) and ( no or none or non or non or free or freefrom or make without ) ) or ( nongmo project verify or non gmo project verify or nongmo or gmofree or nongmo ),GMO Free/Non-GMO,Double closing bracket,( ( gmo or gms or gm's or gntcl mdfy orgns or gntcl mdfy orgns ) and ( no or nn or non or non or fr or frfrm or mk wtht ) ) or ( nngm prjct vrfy or non gmo prjct vrfy or nngm or gmfr or nngm )
( ( grain or grain ) and ( no or free or free or zero or make without or free from or sensitive or sensitivity or sensitivity or allergy or allergy or allergic or intolerance or intolerant or without or allergen or allergen ) ) or grainfree or grainfree,Grain Free,Single AND,( ( grn or grn ) and ( no or fr or fr or zr or mk wtht or fr frm or snstv or snstv or snstv or alrgy or alrgy or alrgc or intlr or intlr or wtht or alrgn or alrgn ) ) or grnfr or grnfr
( grass feed or grassfed or grassfed or grass finish or grassfinished or grassfed ),Grass Fed,Simple OR,( grs fd or grsfd or grsfd or grs fnsh or grsfn or grsfd )
( gum or gum ) and ( allergen or allergen or allergy or allergic or sensitivity or sensitive or allergy or sensitivity or intolerance or intolerant or free or free from or make without or zero or no or without ) and not ( tara gum or tara gum or gellan gum or gellan gum or vegetable gum or vegetable gum or xanthan vegetable gum or xanthan vegetable gum or xanthan gum or xantham gum or agar agar or cellulose gum or cellulose gum or guar gum or guar gum or locust bean gum or locust bean gum or pectin ),Gum Free,AND and AND NOT,( gum or gum ) and ( alrgn or alrgn or alrgy or alrgc or snstv or snstv or alrgy or snstv or intlr or intlr or fr or fr frm or mk wtht or zr or no or wtht ) and not ( tr gum or tr gum or gln gum or gln gum or vgtbl gum or vgtbl gum or xnthn vgtbl gum or xnthn vgtbl gum or xnthn gum or xnthm gum or agr agr or clls gum or clls gum or gr gum or gr gum or lcst bn gum or lcst bn gum or pctn )
gut brain axis or gutbrain axis or gutbrain or gut brain connection or gutbrain connection or braingut axis or brain gut axis or brain gut connection or braingut or brain gut or braingut connection or mind gut or gut mind or mindgut or gutmind,Gut Brain Axis,Simple OR,gut brn axs or gtbrn axs or gtbrn or gut brn cnctn or gtbrn cnctn or brngt axs or brn gut axs or brn gut cnctn or brngt or brn gut or brngt cnctn or mnd gut or gut mnd or mndgt or gtmnd
gut and ( health or healthy or flora or heal or heal or leaky ) or guthealth or gutflora,Gut Health,Single AND,gut and ( hlth or hlthy or flr or hl or hl or lky ) or gthlt or gtflr
gut microbiome or gut microflora or gut microbiota or gut flora or gutmicrobiome or gutflora or gutmicroflora or gutmicrobiota,Gut Microbiome,Simple OR,gut mcrbm or gut mcrfl or gut mcrbt or gut flr or gtmcr or gtflr or gtmcr or gtmcr
( hairball or hair ball ) and ( formula or formula or diet or diet or food or treat ),Hairball,Single AND,( hrbl or hr bl ) and ( frml or frml or dt or dt or fd or trt )
food and ( hand craft or handmade or hand make or handmade or craft or small batch or hand pack or handpacked ),Hand Crafted Foods,Single AND,fd and ( hnd crft or hndmd or hnd mk or hndmd or crft or sml btch or hnd pck or hndpc )
( digestion or digestive or digestible or digestibility or digest or digest or digest or sensitive stomach or ( sensitive skin and stomach ) or sensitive tummy or gastro or gastrointestinal or gi or digestion or digestivehealth ) and not animal digest,Healthy Digestion,Single AND NOT,( dgstn or dgstv or dgstb or dgstb or dgst or dgst or dgst or snstv stmch or ( snstv skn and stmch ) or snstv tmy or gstr or gstrn or gi or dgstn or dgstv ) and not anml dgst
weight management or healthy weight or lose weight or overweight or obese or obesity or on a diet or weight control or control weight or weight care,Healthy Weight/Weight Management,Simple OR,wght mngmn or hlthy wght or ls wght or ovrwg or obs or obsty or on a dt or wght cntrl or cntrl wght or wght cr
dilate cardiomyopathy or dcm or diet relate cardiomyopathy or dcm or heart and grain or ( heart and lentil ) or ( heart and legume ) or ( heart and pea ) or ( taurine and grain ) or ( heart and potato ) or ( heart and soy ) or heart disease or heartdisease or heart condition or nutrition relate cardiomyopathy,Heart Disease Total,CHECK,dlt crdmy or dcm or dt rlt crdmy or dcm or hrt and grn or ( hrt and lntl ) or ( hrt and lgm ) or ( hrt and pea ) or ( trn and grn ) or ( hrt and ptt ) or ( hrt and soy ) or hrt dss or hrtds or hrt cndtn or ntrtn rlt crdmy
( heart and ( health or healthy ) ) or hearthealth,Heart Health,Single AND,( hrt and ( hlth or hlthy ) ) or hrthl
( heritage breed or heritage breed or heritage turkey or heritage turkey or heritage pork or heritage meat or heritage chicken or heritage chicken or heritage livestock or heritage beef or heritage beef or heritage cow or heritage cow or heritage pig or heritage pig or heirloom breed or heirloom breed or heirloom turkey or heirloom turkey or heirloom pork or heirloom meat or heirloom chicken or heirloom chicken or heirloom livestock or heirloom beef or heirloom beef or heirloom cow or heirloom cow or heirloom pig or heirloom pig ),Heritage-Breed Meats,Simple OR,( hrtg brd or hrtg brd or hrtg trky or hrtg trky or hrtg prk or hrtg mt or hrtg chckn or hrtg chckn or hrtg lvstc or hrtg bf or hrtg bf or hrtg cow or hrtg cow or hrtg pig or hrtg pig or hrlm brd or hrlm brd or hrlm trky or hrlm trky or hrlm prk or hrlm mt or hrlm chckn or hrlm chckn or hrlm lvstc or hrlm bf or hrlm bf or hrlm cow or hrlm cow or hrlm pig or hrlm pig )
( high protein or highprotein ),High Protein,Simple OR,( hgh prtn or hghpr )
holistic and ( diet or food or nutrition or medicine or practice or health or earthborn or earth bear or formula or formula ),Holistic Food,Single AND,hlstc and ( dt or fd or ntrtn or mdcn or prctc or hlth or erthb or erth br or frml or frml )
